com.samsung.shealth.tracker.pedometer_day_summary,6311013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,16106,43547df2-ae66-49f9-b5ee-66323a1948df.binning_data.json,8528661,10000,,34,2020-07-26 22:00:12.164,com.sec.android.app.shealth,2020-07-25 22:00:05.322,,1.3799782,11769.366,685.2785,16072,BPYUPn3BBR,com.sec.android.app.shealth,0,43547df2-ae66-49f9-b5ee-66323a1948df.achievement.json,43547df2-ae66-49f9-b5ee-66323a1948df,1595635200000,
,9778,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8.binning_data.json,4372876,10000,,490,2020-07-26 22:00:11.189,com.sec.android.app.shealth,2020-07-25 22:04:53.748,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8.source_info.json,1.9042709,8327.14,438.27222,9288,VfS0qUERdZ,com.sec.android.app.shealth,0,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8.achievement.json,0f0299ff-05d4-43b9-bd82-4efbf2b7d5a8,1595721600000,
,4009,af18c9dc-30ad-4932-93b2-b7a70cf8d284.binning_data.json,2144805,10000,,51,2020-07-26 22:00:12.054,com.sec.android.app.shealth,2020-07-26 22:00:12.054,,1.4373478,3082.8315,174.04472,3958,BPYUPn3BBR,com.sec.android.app.shealth,0,af18c9dc-30ad-4932-93b2-b7a70cf8d284.achievement.json,af18c9dc-30ad-4932-93b2-b7a70cf8d284,1595721600000,
,8036,6fed73cc-a165-4b55-8dd2-491a35e15d4a.binning_data.json,3404200,10000,,456,2020-07-26 22:00:08.682,com.sec.android.app.shealth,2020-07-26 22:00:08.682,,2.056742,7001.5625,360.90405,7580,m3h9nVfJDO,com.sec.android.app.shealth,0,6fed73cc-a165-4b55-8dd2-491a35e15d4a.achievement.json,6fed73cc-a165-4b55-8dd2-491a35e15d4a,1595721600000,
,11982,b2fc0fa2-1b77-4c63-9c24-e10e8b9c59b0.binning_data.json,6036369,10000,,89,2020-07-27 21:30:06.074,com.sec.android.app.shealth,2020-07-26 22:00:49.659,b2fc0fa2-1b77-4c63-9c24-e10e8b9c59b0.source_info.json,1.5585271,9407.846,494.06433,11893,VfS0qUERdZ,com.sec.android.app.shealth,0,b2fc0fa2-1b77-4c63-9c24-e10e8b9c59b0.achievement.json,b2fc0fa2-1b77-4c63-9c24-e10e8b9c59b0,1595808000000,
,7269,d0c730af-30ef-4551-9a41-93686d0de244.binning_data.json,3463694,10000,,75,2020-07-27 22:00:14.169,com.sec.android.app.shealth,2020-07-27 22:00:14.169,,1.7047769,5904.8257,298.03317,7194,m3h9nVfJDO,com.sec.android.app.shealth,0,d0c730af-30ef-4551-9a41-93686d0de244.achievement.json,d0c730af-30ef-4551-9a41-93686d0de244,1595808000000,
,10878,2ba90ad3-4803-4a44-80aa-0ca00fd72cc1.binning_data.json,5548399,10000,,28,2020-07-27 22:00:29.932,com.sec.android.app.shealth,2020-07-27 22:00:29.932,,1.4622902,8113.3696,461.56033,10850,BPYUPn3BBR,com.sec.android.app.shealth,0,2ba90ad3-4803-4a44-80aa-0ca00fd72cc1.achievement.json,2ba90ad3-4803-4a44-80aa-0ca00fd72cc1,1595808000000,
,3614,56ca18ce-de0b-42f0-975e-dff4aae21245.binning_data.json,1775763,10000,,28,2020-07-28 22:03:13.264,com.sec.android.app.shealth,2020-07-27 22:32:22.208,56ca18ce-de0b-42f0-975e-dff4aae21245.source_info.json,1.6379297,2908.5762,154.97653,3586,VfS0qUERdZ,com.sec.android.app.shealth,0,56ca18ce-de0b-42f0-975e-dff4aae21245.achievement.json,56ca18ce-de0b-42f0-975e-dff4aae21245,1595894400000,
,3078,705efa38-54a3-4597-b9d1-0cd9991fede1.binning_data.json,1503310,10000,,40,2020-07-28 22:00:01.937,com.sec.android.app.shealth,2020-07-28 22:00:01.937,,1.6891776,2539.358,130.81866,3038,m3h9nVfJDO,com.sec.android.app.shealth,0,705efa38-54a3-4597-b9d1-0cd9991fede1.achievement.json,705efa38-54a3-4597-b9d1-0cd9991fede1,1595894400000,
,9240,75b7f275-f7bb-4db8-92ba-55042b1177f3.binning_data.json,4271647,10000,,1285,2020-07-29 22:00:04.136,com.sec.android.app.shealth,2020-07-29 22:00:04.136,,1.8800267,8030.8105,448.9351,7955,m3h9nVfJDO,com.sec.android.app.shealth,0,75b7f275-f7bb-4db8-92ba-55042b1177f3.achievement.json,75b7f275-f7bb-4db8-92ba-55042b1177f3,1595980800000,
