com.samsung.shealth.tracker.floors_day_summary,6311013,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-24 23:50:37.643,2024-10-24 23:50:37.643,23,1,CdeuO5Zn7i,com.sec.android.app.shealth,76741c77-a164-4275-b107-4c1232df9d7f,1660435200000,
62810050,,62810050,2024-10-24 23:50:38.134,2024-10-24 23:50:38.134,348,1,CdeuO5Zn7i,com.sec.android.app.shealth,d6a6a3ea-7be8-4cad-945a-bb76cbe1ffd5,1599091200000,
62810050,,62810050,2024-10-24 23:50:38.677,2024-10-24 23:50:38.677,13,1,CdeuO5Zn7i,com.sec.android.app.shealth,805c79d2-c2f5-480f-8dbf-7dad326a7947,1704326400000,
62810050,,62810050,2024-10-24 23:50:38.314,2024-10-24 23:50:38.314,310,1,CdeuO5Zn7i,com.sec.android.app.shealth,430a5f3a-b228-4dee-b045-ca868c887300,1599696000000,
62810050,,62810050,2024-10-24 23:50:39.062,2024-10-24 23:50:39.062,22,1,CdeuO5Zn7i,com.sec.android.app.shealth,4b34c6a4-032f-450b-aa8f-0ebde03c519e,1704931200000,
62810050,,62810050,2024-10-24 23:50:37.762,2024-10-24 23:50:37.762,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,891ca51c-3083-423e-870e-31c6b70e2f01,1716940800000,
62810050,,62810050,2024-10-24 23:50:39.302,2024-10-24 23:50:39.302,7,1,CdeuO5Zn7i,com.sec.android.app.shealth,1bae16b4-7485-4dce-95d8-dc01c7e9b1e3,1720569600000,
62810050,,62810050,2024-10-24 23:50:38.876,2024-10-24 23:50:38.876,142,1,CdeuO5Zn7i,com.sec.android.app.shealth,ff7e41b3-61eb-4e3d-93a4-ac025ab43560,1626134400000,
62810050,,62810050,2024-10-24 23:50:39.380,2024-10-24 23:50:39.380,178,1,CdeuO5Zn7i,com.sec.android.app.shealth,4fecc9d7-aff7-422f-8274-179a3895e537,1596672000000,
62810050,,62810050,2024-10-24 23:50:38.815,2024-10-24 23:50:38.815,203,1,CdeuO5Zn7i,com.sec.android.app.shealth,f5e66c5f-3d53-498b-aabd-3f11754688cc,1640563200000,
62810050,,62810050,2024-10-24 23:50:39.437,2024-10-24 23:50:39.437,27,1,CdeuO5Zn7i,com.sec.android.app.shealth,ac54c0a6-349f-40b2-8117-96de4269a5b4,1625529600000,
62810050,,62810050,2024-10-24 23:50:39.734,2024-10-24 23:50:39.734,185,1,CdeuO5Zn7i,com.sec.android.app.shealth,88ca7841-debc-445b-9b8c-cc42dfd59abc,1596067200000,
62810050,,62810050,2024-10-24 23:50:38.545,2024-10-24 23:50:38.545,23,1,CdeuO5Zn7i,com.sec.android.app.shealth,1aa95265-a911-4fed-9808-f55dc40d94ca,1641168000000,
62810050,,62810050,2024-10-24 23:50:39.153,2024-10-24 23:50:39.153,124,1,CdeuO5Zn7i,com.sec.android.app.shealth,772e79c4-e145-41d2-ab20-405a9287d798,1597881600000,
62810050,,62810050,2024-10-24 23:50:38.600,2024-10-24 23:50:38.600,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,e66aeebc-595e-44e0-9d39-8ac43be5937b,1612310400000,
62810050,,62810050,2024-10-24 23:50:39.256,2024-10-24 23:50:39.256,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,baa449a7-5844-4183-b25f-acc5cb2604b6,1611100800000,
62810050,,62810050,2024-10-24 23:50:38.927,2024-10-24 23:50:38.927,9,1,CdeuO5Zn7i,com.sec.android.app.shealth,e9d58a45-9e42-42ac-a450-305f663a5789,1705536000000,
62810050,,62810050,2024-10-24 23:50:39.488,2024-10-24 23:50:39.488,11,1,CdeuO5Zn7i,com.sec.android.app.shealth,9f7900aa-90c3-4e43-8842-5b6933ed95ca,1706140800000,
62810050,,62810050,2024-10-24 23:50:39.993,2024-10-24 23:50:39.993,23,1,CdeuO5Zn7i,com.sec.android.app.shealth,19b11273-085d-4a8d-b5d7-f5e5fe07e7b4,1636416000000,
62810050,,62810050,2024-10-24 23:50:39.534,2024-10-24 23:50:39.534,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,523a2b3d-15c7-4f3d-b74e-be4675a6a572,1624924800000,
62810050,,62810050,2024-10-24 23:50:39.965,2024-10-24 23:50:39.965,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,cdd22321-6ebe-4a11-a8b7-92e7d10045ed,1709683200000,
62810050,,62810050,2024-10-24 23:50:39.216,2024-10-24 23:50:39.216,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,d887ef7d-6bfe-4f4f-b7dd-9dae818cb75d,1639958400000,
62810050,,62810050,2024-10-24 23:50:39.776,2024-10-24 23:50:39.776,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,ca03a7ed-05fc-445e-b945-62df532cd5c0,1650240000000,
62810050,,62810050,2024-10-24 23:50:40.127,2024-10-24 23:50:40.127,7,1,CdeuO5Zn7i,com.sec.android.app.shealth,7586c6a6-dba3-405d-92d2-6ae6c25ef884,1709078400000,
62810050,,62810050,2024-10-24 23:50:39.678,2024-10-24 23:50:39.678,21,1,CdeuO5Zn7i,com.sec.android.app.shealth,b46077a3-031a-4d6f-932c-924aaa7d3010,1719964800000,
62810050,,62810050,2024-10-24 23:50:39.003,2024-10-24 23:50:39.003,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,14293c7d-b3e1-41ef-bc53-9357b1f55eb9,1718755200000,
62810050,,62810050,2024-10-24 23:50:40.262,2024-10-24 23:50:40.262,58,1,CdeuO5Zn7i,com.sec.android.app.shealth,d5a83ae5-b508-421c-8510-cb6160ddc511,1621382400000,
62810050,,62810050,2024-10-24 23:50:39.939,2024-10-24 23:50:39.939,66,1,CdeuO5Zn7i,com.sec.android.app.shealth,111a221b-2db5-43b8-bdf4-be879edd7d7a,1621987200000,
62810050,,62810050,2024-10-24 23:50:38.734,2024-10-24 23:50:38.734,44,1,CdeuO5Zn7i,com.sec.android.app.shealth,f9ebc5c5-ad81-4c3e-abce-e5f36a1139be,1626739200000,
62810050,,62810050,2024-10-24 23:50:40.068,2024-10-24 23:50:40.068,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,29002ea4-f776-4495-acab-6c35eab06a3a,1608163200000,
62810050,,62810050,2024-10-24 23:50:39.641,2024-10-24 23:50:39.641,19,1,CdeuO5Zn7i,com.sec.android.app.shealth,bf02859d-c1b2-42ce-9003-6937c1dd332f,1597276800000,
62810050,,62810050,2024-10-24 23:50:39.803,2024-10-24 23:50:39.803,8,1,CdeuO5Zn7i,com.sec.android.app.shealth,0824569b-1594-4940-b672-488f876fc400,1706745600000,
62810050,,62810050,2024-10-24 23:50:39.575,2024-10-24 23:50:39.575,26,1,CdeuO5Zn7i,com.sec.android.app.shealth,0dce274d-b189-45bb-a899-00f0ea3c43da,1649635200000,
62810050,,62810050,2024-10-24 23:50:40.094,2024-10-24 23:50:40.094,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,6453fc79-7684-429c-85ca-f5fc15096817,1667001600000,
62810050,,62810050,2024-10-24 23:50:39.837,2024-10-24 23:50:39.837,27,1,CdeuO5Zn7i,com.sec.android.app.shealth,732de562-d4d8-4184-94f5-e2dae0e8605b,1610496000000,
62810050,,62810050,2024-10-24 23:50:40.029,2024-10-24 23:50:40.029,15,1,CdeuO5Zn7i,com.sec.android.app.shealth,79265ff0-1be4-4215-8890-0b74d6399199,1652572800000,
62810050,,62810050,2024-10-24 23:50:39.866,2024-10-24 23:50:39.866,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,ca726b2f-a69c-4b34-9f0f-d25b53066f7b,1664668800000,
62810050,,62810050,2024-10-24 23:50:40.221,2024-10-24 23:50:40.221,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,dc30190c-1237-4094-b5e0-b155206217e4,1667606400000,
62810050,,62810050,2024-10-24 23:50:40.403,2024-10-24 23:50:40.403,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,9fcd7453-23f4-4950-ba9a-b976b9d0f8ad,1653782400000,
62810050,,62810050,2024-10-24 23:50:39.612,2024-10-24 23:50:39.612,9,1,CdeuO5Zn7i,com.sec.android.app.shealth,9b7ec4ab-fa2d-4387-9315-6525318faa82,1721174400000,
62810050,,62810050,2024-10-24 23:50:40.447,2024-10-24 23:50:40.447,10,1,CdeuO5Zn7i,com.sec.android.app.shealth,cc61fd4d-5b68-4d4f-a369-e5b1b5942025,1649030400000,
62810050,,62810050,2024-10-24 23:50:40.721,2024-10-24 23:50:40.721,8,1,CdeuO5Zn7i,com.sec.android.app.shealth,148458cc-80fd-486f-820d-be8ac155ad65,1648425600000,
62810050,,62810050,2024-10-24 23:50:40.290,2024-10-24 23:50:40.290,8,1,CdeuO5Zn7i,com.sec.android.app.shealth,e13844e1-b5f5-4950-90c2-e986507e99ac,1710288000000,
62810050,,62810050,2024-10-24 23:50:40.857,2024-10-24 23:50:40.857,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,61b7ed86-65ca-4299-a82d-04116e3c43ad,1605139200000,
62810050,,62810050,2024-10-24 23:50:41.245,2024-10-24 23:50:41.245,32,1,CdeuO5Zn7i,com.sec.android.app.shealth,e045a6d7-8452-48b1-ac92-8db689730ce7,1655596800000,
62810050,,62810050,2024-10-24 23:50:40.507,2024-10-24 23:50:40.507,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,c8bdcef2-2e81-4bfd-8e04-6a305ebc56a8,1668211200000,
62810050,,62810050,2024-10-24 23:50:40.533,2024-10-24 23:50:40.533,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,54482a41-0662-41df-9729-6f8b08456003,1710892800000,
62810050,,62810050,2024-10-24 23:50:40.200,2024-10-24 23:50:40.200,16,1,CdeuO5Zn7i,com.sec.android.app.shealth,6520080d-e110-48cb-9aa0-56a446fadf0f,1653177600000,
62810050,,62810050,2024-10-24 23:50:40.596,2024-10-24 23:50:40.596,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,ffae94db-271c-4b0e-8aa8-4928c5d9b785,1620172800000,
62810050,,62810050,2024-10-24 23:50:41.077,2024-10-24 23:50:41.077,18,1,CdeuO5Zn7i,com.sec.android.app.shealth,488bcb94-95c3-4fd1-b78f-3e04e25b6366,1711497600000,
62810050,,62810050,2024-10-24 23:50:40.816,2024-10-24 23:50:40.816,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,3d701c77-0c80-4320-9586-7d6e41ea014e,1654992000000,
62810050,,62810050,2024-10-24 23:50:40.337,2024-10-24 23:50:40.337,8,1,CdeuO5Zn7i,com.sec.android.app.shealth,6dfddc65-f39c-472e-b65d-fd156446c5d6,1723507200000,
62810050,,62810050,2024-10-24 23:50:40.640,2024-10-24 23:50:40.640,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,19372825-9514-4cf9-b2f9-0adfaf188177,1668816000000,
62810050,,62810050,2024-10-24 23:50:40.874,2024-10-24 23:50:40.874,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,4a161b6c-85b2-4542-b6ac-0b8ec722f145,1605744000000,
62810050,,62810050,2024-10-24 23:50:40.571,2024-10-24 23:50:40.571,58,1,CdeuO5Zn7i,com.sec.android.app.shealth,ff1adb5e-bc54-4207-9689-a70fa8bba65b,1654387200000,
62810050,,62810050,2024-10-24 23:50:41.282,2024-10-24 23:50:41.282,133,1,CdeuO5Zn7i,com.sec.android.app.shealth,d0a3d7d7-3d09-40be-aec4-6d8851314dba,1604534400000,
62810050,,62810050,2024-10-24 23:50:41.318,2024-10-24 23:50:41.318,16,1,CdeuO5Zn7i,com.sec.android.app.shealth,068c0a0c-a64d-4009-903c-c30f8f487123,1647216000000,
62810050,,62810050,2024-10-24 23:50:40.163,2024-10-24 23:50:40.163,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,e6a9f9d0-be94-49c5-a49e-f4756eef8799,1606953600000,
62810050,,62810050,2024-10-24 23:50:39.906,2024-10-24 23:50:39.906,143,1,CdeuO5Zn7i,com.sec.android.app.shealth,8d1b5752-8a2e-4d7f-bf6b-8ad6495caa6b,1624320000000,
62810050,,62810050,2024-10-24 23:50:41.027,2024-10-24 23:50:41.027,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,16be4005-b5d9-434a-a081-99a3151f18ed,1647820800000,
62810050,,62810050,2024-10-24 23:50:41.469,2024-10-24 23:50:41.469,14,1,CdeuO5Zn7i,com.sec.android.app.shealth,a673eabd-3d6b-4b68-af4c-ae5bff86b271,1646611200000,
62810050,,62810050,2024-10-24 23:50:40.675,2024-10-24 23:50:40.675,27,1,CdeuO5Zn7i,com.sec.android.app.shealth,a02d006b-726c-4149-b10e-8685c2945e27,1725926400000,
62810050,,62810050,2024-10-24 23:50:41.113,2024-10-24 23:50:41.113,28,1,CdeuO5Zn7i,com.sec.android.app.shealth,523eda47-40e9-4f66-9cf6-438976db3a66,1619568000000,
62810050,,62810050,2024-10-24 23:50:41.367,2024-10-24 23:50:41.367,123,1,CdeuO5Zn7i,com.sec.android.app.shealth,cc0584d8-cf65-4c1d-bfa3-a07ddc5f473c,1632787200000,
62810050,,62810050,2024-10-24 23:50:41.527,2024-10-24 23:50:41.527,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,e9da11ab-a8f6-47dc-aa27-cdd165a37e55,1618358400000,
62810050,,62810050,2024-10-24 23:50:41.146,2024-10-24 23:50:41.146,9,1,CdeuO5Zn7i,com.sec.android.app.shealth,4f460c7a-0890-46aa-9fcb-b1cb49cd53ec,1725321600000,
62810050,,62810050,2024-10-24 23:50:41.391,2024-10-24 23:50:41.391,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,800dde1d-24a0-4447-9068-0293dbf53fbb,1712102400000,
62810050,,62810050,2024-10-24 23:50:41.684,2024-10-24 23:50:41.684,146,1,CdeuO5Zn7i,com.sec.android.app.shealth,8e6187cc-d6c5-4d2d-beec-c8ade6b51dfa,1632182400000,
