com.samsung.shealth.food_favorite,6311013,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.7,1,2025-08-03 22:24:55.651,2025-08-03 22:24:55.651,Musli,120001,35b80b1a-a165-4113-afc3-ddc67779e64d,681.0,CdeuO5Zn7i,com.sec.android.app.shealth,57ff4e55-5a14-4fb6-87ef-fce8ca44aeb1,8a84fc3c-020c-4722-8ef0-0674a5e53cca,
2.3,1,2025-08-03 22:24:55.666,2025-08-03 22:24:55.666,Musli,120001,35b80b1a-a165-4113-afc3-ddc67779e64d,105.0,CdeuO5Zn7i,com.sec.android.app.shealth,b9b6be5b-eed7-41e3-b34c-e10d4daf51a3,e6ba779b-aa10-49f2-af85-2697c7088659,
1.0,3,2025-08-03 22:03:40.142,2025-08-03 22:03:26.101,Masło ekstra (14g),120001,f5338571-eb12-4896-b364-543d3e75d5fe,104.0,CdeuO5Zn7i,com.sec.android.app.shealth,7adf7c80-6817-4773-97ce-fb0f6a33f4b2,a7f5419f-2c81-4c14-8b58-386472d41378,
1.0,1,2025-08-04 20:02:06.999,2025-08-04 20:01:25.552,Hot dog żabka duży,120001,ba96e27d-a987-400b-bd0c-13f3d99a21a9,610.0,CdeuO5Zn7i,com.sec.android.app.shealth,d828c3a2-247d-4a00-b8e0-156acad19102,11a4b533-000f-4101-9c6a-167e26a20b9a,
1.0,3,2025-08-04 20:03:44.102,2025-08-04 20:03:44.102,Kajzerka (1 sztuka),120001,247b2634-8039-43c3-9ee4-c820f520fbd7,178.0,CdeuO5Zn7i,com.sec.android.app.shealth,e7e9e3ce-71ee-41a8-a477-be9c1f878a48,afc4a787-5919-4dab-bff9-a1aeb49edb74,
1.0,1,2025-08-04 20:01:47.748,2025-08-04 20:01:47.748,Hot dog mały żabka,120001,a8aeabb7-c332-4bc1-adeb-de6024e1e6b6,436.0,CdeuO5Zn7i,com.sec.android.app.shealth,b09195a0-49d4-4c65-b581-c8b5a7bc3a22,44a7e257-ef8a-43c2-9890-063cde31e5f1,
1.0,3,2025-08-04 19:54:08.197,2025-08-04 19:54:08.197,Hot dog mały żabka,120001,352347c2-5895-40d0-9304-27a70ac47aa4,436.0,CdeuO5Zn7i,com.sec.android.app.shealth,e84a8373-4af5-442d-8267-f4184d0d0b1b,44a7e257-ef8a-43c2-9890-063cde31e5f1,
1.0,3,2025-08-04 20:01:02.646,2025-08-04 19:58:34.781,Hot dog duży żabka (uzupełnij wartości odżywcze),120001,dd5a8094-bce0-41bb-8fcd-906442e71e61,610.0,CdeuO5Zn7i,com.sec.android.app.shealth,becf8f2e-3e9c-4c3d-8997-49ab422c6032,11a4b533-000f-4101-9c6a-167e26a20b9a,
0.0,2,2025-08-09 06:24:42.735,2025-08-09 06:24:42.735,888aa717-0acc-4244-ad7c-11567ef7724a,,888aa717-0acc-4244-ad7c-11567ef7724a,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,d35ce2d5-bceb-4c60-8e62-28918fdccdb8,4c74f8f4-d1d8-4d41-803a-45b2ffc31219,
1.0,3,2025-08-09 06:26:49.494,2025-08-09 06:24:28.421,Dare milk chocolate + roasted coconut 1 szt,120001,4db192a6-76c1-4b8a-b877-a4034bd483ea,227.0,CdeuO5Zn7i,com.sec.android.app.shealth,36b17019-e6e7-4f0a-85d6-d9144e9f0d19,aaea1ae6-1166-4c24-832a-df79c7b0e7ce,
0.0,2,2025-08-09 06:27:25.898,2025-08-09 06:27:25.898,2d4c8fa4-2b1c-444b-9518-425d8c5c84ec,,2d4c8fa4-2b1c-444b-9518-425d8c5c84ec,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,56f82a37-9ab2-4673-95a8-d77be155c477,aaea1ae6-1166-4c24-832a-df79c7b0e7ce,
1.0,3,2025-08-09 11:36:27.610,2025-08-09 11:36:27.610,WW,120001,54a03558-9928-4192-b2c9-c3eafd6a6475,254.0,CdeuO5Zn7i,com.sec.android.app.shealth,d57e314d-63b2-4532-ab71-042e195b9543,27f76e6d-d57c-4c9c-bc7f-4561a01c9b82,
0.0,2,2025-08-09 11:36:53.597,2025-08-09 11:36:53.597,3ab6be2c-7790-4131-b70d-1cfeae00f13c,,3ab6be2c-7790-4131-b70d-1cfeae00f13c,0.0,CdeuO5Zn7i,com.sec.android.app.shealth,c30c470a-15ff-4524-8998-ba89f1661243,27f76e6d-d57c-4c9c-bc7f-4561a01c9b82,
