com.samsung.shealth.rewards,6311013,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-08-01 15:44:21.377,,,,2020-08-02 09:55:02.085,2020-08-01 15:44:21.429,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":128,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-01 15:44:21.377,b8d70e75-0b74-4107-87ef-28a954ecdf58,0,
,2020-08-02 09:55:02.038,,,,2020-08-03 13:21:00.438,2020-08-02 09:55:02.174,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":175,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-02 09:55:02.038,88618182-b889-4265-a538-e7de03ec0090,0,
,2020-08-03 13:21:00.419,,,,2020-08-04 14:45:05.161,2020-08-03 13:21:00.532,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":132,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-03 13:21:00.419,f9db7c11-f77d-43a6-8c3c-3b5d20d5f5b5,0,
,2020-08-04 14:45:04.996,,,,2020-08-05 17:30:37.165,2020-08-04 14:45:05.166,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":85,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-04 14:45:04.996,8f23d027-04a4-4e3a-a78f-26520e0f954d,0,
,2020-08-05 17:30:37.120,,,,2020-08-06 13:00:06.093,2020-08-05 17:30:37.188,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":99,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-05 17:30:37.120,9c912ff5-64ea-409e-b11a-7015e4fecbe3,0,
,2020-08-06 13:00:06.046,,,,2020-08-07 17:55:18.190,2020-08-06 13:00:06.100,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":116,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-06 13:00:06.046,24f2e9d8-12e0-4c90-9c92-3a2c3aaaca56,0,
,2020-08-07 17:55:17.992,,,,2020-08-08 18:15:33.195,2020-08-07 17:55:18.280,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":100,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-07 17:55:17.992,e2d4977a-8797-4efe-83e8-7f3f872fe336,0,
,2020-08-08 18:15:33.160,,,,2020-08-09 12:42:22.027,2020-08-08 18:15:33.199,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":99,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-08 18:15:33.160,c68aa324-d594-4722-a1fd-23c65b80dad2,0,
,2020-08-09 12:42:21.979,,,,2020-08-10 17:13:14.147,2020-08-09 12:42:22.108,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":203,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-09 12:42:21.979,b257070b-9068-4e9c-b8a3-b8ec11b9f374,0,
,2020-08-10 17:13:14.029,,,,2020-08-11 16:05:12.822,2020-08-10 17:13:14.156,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":122,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-10 17:13:14.029,9f06c496-d21a-4578-b14b-828d0359a940,0,
