com.samsung.shealth.best_records,6311013,3
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_data,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-1,2026-03-17 21:10:19.474,2024-10-24 23:51:13.478,,1595462400000,6,75.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,cd9cafe6-e1ce-4b13-a8b7-11ed72193574,
,-1,2026-03-17 21:10:19.481,2024-10-24 23:51:13.488,,1595635200000,6,265.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,b7a725a4-c002-4223-9b93-6fa1e66a8297,
,-1,2026-03-17 21:10:19.487,2024-10-24 23:51:13.603,,1598486400000,6,300.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,96f09dec-d6d3-4a1a-b872-6733c29d92e9,
,-1,2026-03-17 21:10:19.492,2024-10-24 23:51:13.631,,1598918400000,6,324.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,79e67e89-e14b-432a-a340-7e93975e9f74,
,-1,2026-03-17 21:10:19.496,2024-10-24 23:51:13.639,,1599004800000,6,327.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,862c3651-cc82-4515-8e46-d620643764fa,
,-1,2026-03-17 21:10:19.500,2024-10-24 23:51:13.654,,1599091200000,6,348.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,cc96108d-1890-46e9-afd8-95ef2a4249a1,
,-1,2026-03-17 21:10:19.507,2024-10-24 23:51:13.685,,1599350400000,6,406.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,38f9b2e7-8b6e-4ca1-90f7-bb20020fc121,
,-1,2026-03-17 21:10:19.504,2024-10-24 23:51:13.667,,1599264000000,6,364.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,5bc85d26-6175-4b50-a468-1ebe94bc160c,
,-1,2026-03-17 21:10:19.510,2024-10-24 23:51:13.737,,1600473600000,6,442.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,33c47fcb-e5ef-4008-8120-49ef76ca02d2,
,-100003,2026-03-17 23:00:17.523,2024-10-24 23:50:40.060,,1599004800000,0,26120.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,f04b6404-31f3-4f39-90bf-752f72100f0f,
,-100003,2026-03-17 23:00:17.524,2024-10-24 23:50:40.133,,1599868800000,0,29340.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,e6a9d83b-0d14-4e82-9a49-1ba695f8aae5,
,-100003,2026-03-17 23:00:17.517,2024-10-24 23:50:39.783,,1595635200000,0,18319.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,3b82039d-1356-44d2-9007-4a1659a9d263,
,-100003,2026-03-17 23:00:17.532,2024-10-24 23:50:42.958,,1643155200000,0,37643.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,09c619f8-20dd-494e-8e80-18da00325348,
,-100003,2026-03-17 23:00:17.509,2024-10-24 23:50:39.713,,1595376000000,0,15443.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,ff3ee720-bb4e-4d97-b195-cb0370fc70a0,
,-100003,2026-03-17 23:00:17.526,2024-10-24 23:50:42.614,,1637280000000,0,33400.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,c273b0a2-3b19-4619-92e0-7ac9372cc197,
,-100003,2026-03-17 23:00:17.513,2024-10-24 23:50:39.746,,1595462400000,0,16083.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,2ad1b1b4-d064-496c-acdb-8bb5a75dbedd,
,-100003,2026-03-17 23:00:17.515,2024-10-24 23:50:39.773,,1595548800000,0,17722.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,1f235045-d749-455a-a25f-9b46a4095e10,
,-100003,2026-03-17 23:00:17.528,2024-10-24 23:50:42.902,,1642550400000,0,34082.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,5466f0c8-9506-40b0-939e-9f97366fe32e,
,-100003,2026-03-17 23:00:17.519,2024-10-24 23:50:39.921,,1596931200000,0,18641.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,a1b33246-eaee-4fdb-96f3-4a4be5d09f26,
,-100003,2026-03-17 23:00:17.521,2024-10-24 23:50:40.002,,1598400000000,0,25296.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,1d60a62e-52b3-4987-93e5-3e8bc21cbb4a,
