com.samsung.shealth.report,6311013,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Warsaw,1607295600000,2020-12-15 14:04:29.951,2020-12-14 14:06:59.030,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,4444cb0e-ee59-4ad1-ad0a-e69ee267413f,4444cb0e-ee59-4ad1-ad0a-e69ee267413f.compressed_content.json,
Europe/Warsaw,1607900400000,2020-12-23 14:05:32.200,2020-12-21 14:05:50.590,0,0,2,m3h9nVfJDO,X,com.sec.android.app.shealth,0c8f8654-833b-4e6e-a825-1afe350250b5,0c8f8654-833b-4e6e-a825-1afe350250b5.compressed_content.json,
Europe/Warsaw,1607900400000,2020-12-27 15:00:10.376,2020-12-27 15:00:04.191,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,f0c98938-322c-4c46-8378-74e7aab168fd,f0c98938-322c-4c46-8378-74e7aab168fd.compressed_content.json,
Europe/Warsaw,1608505200000,2020-12-29 16:47:09.878,2020-12-28 16:58:36.478,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,5785859c-151b-4bfe-913b-e46b079f67ce,5785859c-151b-4bfe-913b-e46b079f67ce.compressed_content.json,
Europe/Warsaw,1609110000000,2021-01-06 14:05:55.925,2021-01-06 14:05:54.894,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,a87801e2-3df1-44e3-a66c-ef4c9742ca8c,a87801e2-3df1-44e3-a66c-ef4c9742ca8c.compressed_content.json,
Europe/Warsaw,1609714800000,2021-01-13 14:27:26.332,2021-01-12 13:31:35.181,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,6883a0c2-b7d3-4c70-82a3-ef68dec7e33b,6883a0c2-b7d3-4c70-82a3-ef68dec7e33b.compressed_content.json,
Europe/Warsaw,1610319600000,2021-01-21 08:24:25.559,2021-01-18 14:27:34.309,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,37468d1e-e689-4fd4-a2c5-b9fc0ab83de1,37468d1e-e689-4fd4-a2c5-b9fc0ab83de1.compressed_content.json,
Europe/Warsaw,1610924400000,2021-01-26 14:54:48.599,2021-01-26 14:54:47.363,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,fb8b57b2-54e5-4a8f-a073-f70ae19d620a,fb8b57b2-54e5-4a8f-a073-f70ae19d620a.compressed_content.json,
Europe/Warsaw,1611529200000,2021-02-05 16:05:28.496,2021-02-05 16:05:27.465,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,d2c11b5d-04f2-4abc-a5e4-b7985f1f62ff,d2c11b5d-04f2-4abc-a5e4-b7985f1f62ff.compressed_content.json,
Europe/Warsaw,1612134000000,2021-02-08 15:25:58.264,2021-02-08 15:25:57.665,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,7582263f-2be9-4048-b3b6-cb7786940602,7582263f-2be9-4048-b3b6-cb7786940602.compressed_content.json,
