com.samsung.shealth.sleep_snoring,6311013,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
0,63030110,2025-08-02 01:16:52.560,,63030110,2025-08-02 08:35:51.635,2025-08-02 08:35:51.635,UTC+0200,YDRm/TcCOZ,com.sec.android.app.shealth,2025-08-02 08:35:51.489,4af0ff40-6d8c-463b-a8f3-633745e79ac3,
0,63030110,2025-08-03 07:17:01.793,,63030110,2025-08-03 09:46:02.547,2025-08-03 09:46:02.547,UTC+0200,YDRm/TcCOZ,com.sec.android.app.shealth,2025-08-03 09:46:02.353,8baff8fa-a05f-43c5-8c43-cdc437d9175b,
0,63030110,2025-08-03 10:12:02.465,,63030110,2025-08-03 12:50:22.137,2025-08-03 12:50:22.137,UTC+0200,YDRm/TcCOZ,com.sec.android.app.shealth,2025-08-03 12:50:21.820,20daa0c8-a514-4a78-b453-83ae5ee29d7b,
0,63030110,2025-08-08 08:23:50.525,,63030110,2025-08-08 09:55:36.640,2025-08-08 09:55:36.640,UTC+0200,VhFspb+oN4,com.sec.android.app.shealth,2025-08-08 09:55:36.245,294ea82b-5256-42a3-a00b-46ee4138dedc,
