com.samsung.shealth.calories_burned.details,6311013,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,d5892910-87da-47e8-94c9-ba41eb28e80e.extra_data.json,,,,0.0,3208839,1689.0641,,2020-05-11 22:05:13.966,2020-05-02 10:14:12.416,283.96997,m3h9nVfJDO,com.sec.android.app.shealth,d5892910-87da-47e8-94c9-ba41eb28e80e,1588377600000,
,,c8957c65-9ba2-41a1-8af8-166ffee8569b.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.760,2020-05-11 22:04:55.394,0.0,m3h9nVfJDO,com.sec.android.app.shealth,c8957c65-9ba2-41a1-8af8-166ffee8569b,1587945600000,
,,b71b963b-4047-4013-b516-e340e0343d14.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.365,2020-05-11 22:04:51.759,0.0,m3h9nVfJDO,com.sec.android.app.shealth,b71b963b-4047-4013-b516-e340e0343d14,1587081600000,
,,423e86e2-5434-4f6f-86b8-26d23e7be1c3.extra_data.json,,,,0.0,0,7.353042,,2020-05-11 22:06:02.160,2020-05-11 22:04:44.344,0.0,m3h9nVfJDO,com.sec.android.app.shealth,423e86e2-5434-4f6f-86b8-26d23e7be1c3,1589241600000,
,,53846074-1b04-424d-92ea-10b73989d1a4.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.921,2020-05-02 10:14:35.510,0.0,m3h9nVfJDO,com.sec.android.app.shealth,53846074-1b04-424d-92ea-10b73989d1a4,1588291200000,
,,36e305ca-0557-465a-a2e2-b55478e0633a.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.842,2020-05-11 22:05:00.039,0.0,m3h9nVfJDO,com.sec.android.app.shealth,36e305ca-0557-465a-a2e2-b55478e0633a,1588118400000,
,,b45b72fa-a072-40fa-ba3d-3851f9e06d08.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:15.227,2020-05-11 22:04:59.919,0.0,m3h9nVfJDO,com.sec.android.app.shealth,b45b72fa-a072-40fa-ba3d-3851f9e06d08,1588896000000,
,,c56c0c5f-4377-4dbd-9de9-279913479cab.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.471,2020-05-11 22:04:51.929,0.0,m3h9nVfJDO,com.sec.android.app.shealth,c56c0c5f-4377-4dbd-9de9-279913479cab,1587254400000,
,,f7acf9d3-0767-4ccd-ac2a-66e4a39a3bdf.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.551,2020-05-11 22:04:52.067,0.0,m3h9nVfJDO,com.sec.android.app.shealth,f7acf9d3-0767-4ccd-ac2a-66e4a39a3bdf,1587427200000,
,,828a1628-b13a-4d5f-95e9-e885d8af9c92.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.513,2020-05-11 22:04:52.005,0.0,m3h9nVfJDO,com.sec.android.app.shealth,828a1628-b13a-4d5f-95e9-e885d8af9c92,1587340800000,
,,7f70add2-f946-4a5f-90de-6ac406d69dee.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.733,2020-05-11 22:04:55.314,0.0,m3h9nVfJDO,com.sec.android.app.shealth,7f70add2-f946-4a5f-90de-6ac406d69dee,1587859200000,
,,f6fa42c6-3740-48ae-90e9-2426b3446394.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.603,2020-05-11 22:04:55.114,0.0,m3h9nVfJDO,com.sec.android.app.shealth,f6fa42c6-3740-48ae-90e9-2426b3446394,1587600000000,
,,5373d4aa-224c-40d9-bf14-8d552383481e.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.264,2020-05-02 10:14:31.472,0.0,m3h9nVfJDO,com.sec.android.app.shealth,5373d4aa-224c-40d9-bf14-8d552383481e,1586908800000,
,,4ff1e039-f5f7-4c40-a824-bdab9effad7c.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.603,2020-05-02 10:14:34.592,0.0,m3h9nVfJDO,com.sec.android.app.shealth,4ff1e039-f5f7-4c40-a824-bdab9effad7c,1587600000000,
,,0b1012b4-a426-4e91-8866-ff35546dddd6.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:14.010,2020-05-11 22:04:59.179,0.0,m3h9nVfJDO,com.sec.android.app.shealth,0b1012b4-a426-4e91-8866-ff35546dddd6,1588464000000,
,,bffa78bf-45f7-4769-82a7-e340f258a37e.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.432,2020-05-02 10:14:31.588,0.0,m3h9nVfJDO,com.sec.android.app.shealth,bffa78bf-45f7-4769-82a7-e340f258a37e,1587168000000,
,,33eb26fe-9490-4b32-8317-0f4a9f8fa1e2.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.330,2020-05-02 10:14:31.508,0.0,m3h9nVfJDO,com.sec.android.app.shealth,33eb26fe-9490-4b32-8317-0f4a9f8fa1e2,1586995200000,
,,9dedbb79-74ee-455e-9164-1d87a0f36728.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:15.286,2020-05-11 22:05:00.126,0.0,m3h9nVfJDO,com.sec.android.app.shealth,9dedbb79-74ee-455e-9164-1d87a0f36728,1589068800000,
,,fa6872a8-3d00-4778-9d0e-bfd4af8eea46.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.574,2020-05-11 22:04:54.738,0.0,m3h9nVfJDO,com.sec.android.app.shealth,fa6872a8-3d00-4778-9d0e-bfd4af8eea46,1587513600000,
,,d75bb9b8-7c1e-480e-8016-0870eca37e0e.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.697,2020-05-11 22:04:55.222,0.0,m3h9nVfJDO,com.sec.android.app.shealth,d75bb9b8-7c1e-480e-8016-0870eca37e0e,1587772800000,
